algorithm,execution_time_ms,peak_memory_kb,mst_weight,trial,nodes,edges,density_ratio,graph_type
Kruskal_Classic,348.44239999802085,481.7578125,500,1,500,31632,0.253563126252505,medium
Kruskal_Classic,202.04720000037923,481.7578125,500,2,500,31632,0.253563126252505,medium
Kruskal_Classic,207.89829999557696,481.7578125,500,3,500,31632,0.253563126252505,medium
Kruskal_Optimized,378.3479999983683,380.546875,500,1,500,31632,0.253563126252505,medium
Kruskal_Optimized,190.08000000030734,380.484375,500,2,500,31632,0.253563126252505,medium
Kruskal_Optimized,235.48430000664666,380.484375,500,3,500,31632,0.253563126252505,medium
Prim_Classic,1176.6973000048893,3879.46875,699,1,700,61971,0.2533047210300429,medium
Prim_Classic,1178.7939999994705,3879.46875,699,2,700,61971,0.2533047210300429,medium
Prim_Classic,1390.642200000002,3879.46875,699,3,700,61971,0.2533047210300429,medium
Prim_Optimized,171.54860000300687,3641.6015625,699,1,700,61971,0.2533047210300429,medium
Prim_Optimized,167.62590000143973,3641.546875,699,2,700,61971,0.2533047210300429,medium
Prim_Optimized,180.49030000111088,3641.546875,699,3,700,61971,0.2533047210300429,medium
Kruskal_Classic,474.21019999455893,882.1640625,699,1,700,61971,0.2533047210300429,medium
Kruskal_Classic,569.5051000002422,882.1640625,699,2,700,61971,0.2533047210300429,medium
Kruskal_Classic,440.8610999962548,882.1640625,699,3,700,61971,0.2533047210300429,medium
Kruskal_Optimized,622.7326000007452,740.015625,699,1,700,61971,0.2533047210300429,medium
Kruskal_Optimized,638.9501000012388,739.953125,699,2,700,61971,0.2533047210300429,medium
Kruskal_Optimized,397.3085000034189,739.953125,699,3,700,61971,0.2533047210300429,medium
Prim_Classic,3.6366000058478676,82.0,115,1,100,2522,0.5094949494949494,dense
Prim_Classic,2.057099998637568,82.0,115,2,100,2522,0.5094949494949494,dense
Prim_Classic,2.1254000021144748,82.0,115,3,100,2522,0.5094949494949494,dense
Prim_Optimized,3.0266000030678697,47.671875,115,1,100,2522,0.5094949494949494,dense
Prim_Optimized,1.7571999997016974,47.6171875,115,2,100,2522,0.5094949494949494,dense
Prim_Optimized,1.6761000006226823,47.6171875,115,3,100,2522,0.5094949494949494,dense
Kruskal_Classic,18.988600000739098,51.3515625,115,1,100,2522,0.5094949494949494,dense
Kruskal_Classic,22.206400004506577,51.3515625,115,2,100,2522,0.5094949494949494,dense
Kruskal_Classic,17.52899999701185,51.3515625,115,3,100,2522,0.5094949494949494,dense
Kruskal_Optimized,13.48370000050636,31.421875,115,1,100,2522,0.5094949494949494,dense
Kruskal_Optimized,11.731699996744283,31.421875,115,2,100,2522,0.5094949494949494,dense
Kruskal_Optimized,17.986999999266118,31.421875,115,3,100,2522,0.5094949494949494,dense
Prim_Classic,23.8314000016544,324.125,200,1,200,10007,0.5028643216080402,dense
Prim_Classic,34.31749999435851,324.125,200,2,200,10007,0.5028643216080402,dense
Prim_Classic,10.342100002162624,324.125,200,3,200,10007,0.5028643216080402,dense
Prim_Optimized,46.06729999795789,504.1640625,200,1,200,10007,0.5028643216080402,dense
Prim_Optimized,27.75359999941429,504.109375,200,2,200,10007,0.5028643216080402,dense
Prim_Optimized,36.972900001273956,504.109375,200,3,200,10007,0.5028643216080402,dense
Kruskal_Classic,97.66509999462869,159.25,200,1,200,10007,0.5028643216080402,dense
Kruskal_Classic,146.6472000029171,159.25,200,2,200,10007,0.5028643216080402,dense
Kruskal_Classic,125.18229999841424,159.25,200,3,200,10007,0.5028643216080402,dense
Kruskal_Optimized,106.51460000372026,119.1328125,200,1,200,10007,0.5028643216080402,dense
Kruskal_Optimized,60.521700004755985,119.0703125,200,2,200,10007,0.5028643216080402,dense
Kruskal_Optimized,72.22470000124304,119.0703125,200,3,200,10007,0.5028643216080402,dense
Prim_Classic,113.3611999975983,980.578125,349,1,350,30642,0.5017110110519852,dense
Prim_Classic,104.73040000215406,980.578125,349,2,350,30642,0.5017110110519852,dense
Prim_Classic,215.68069999921136,980.578125,349,3,350,30642,0.5017110110519852,dense
Prim_Optimized,117.85840000084136,1764.2734375,349,1,350,30642,0.5017110110519852,dense
Prim_Optimized,91.41420000378275,1764.21875,349,2,350,30642,0.5017110110519852,dense
Prim_Optimized,81.86810000188416,1764.21875,349,3,350,30642,0.5017110110519852,dense
Kruskal_Classic,271.5479000034975,432.671875,349,1,350,30642,0.5017110110519852,dense
Kruskal_Classic,217.38789999653818,432.671875,349,2,350,30642,0.5017110110519852,dense
Kruskal_Classic,156.42700000171317,432.671875,349,3,350,30642,0.5017110110519852,dense
Kruskal_Optimized,392.96489999833284,362.0703125,349,1,350,30642,0.5017110110519852,dense
Kruskal_Optimized,278.58310000010533,362.0078125,349,2,350,30642,0.5017110110519852,dense
Kruskal_Optimized,194.15070000104606,362.0078125,349,3,350,30642,0.5017110110519852,dense
Prim_Classic,547.3937999995542,1988.53125,499,1,500,62616,0.5019318637274549,dense
Prim_Classic,416.1573999954271,1988.53125,499,2,500,62616,0.5019318637274549,dense
Prim_Classic,454.93249999708496,1988.53125,499,3,500,62616,0.5019318637274549,dense
Prim_Optimized,251.86399999802234,3672.8828125,499,1,500,62616,0.5019318637274549,dense
Prim_Optimized,144.0816000031191,3672.828125,499,2,500,62616,0.5019318637274549,dense
Prim_Optimized,152.1396999960416,3672.828125,499,3,500,62616,0.5019318637274549,dense
Kruskal_Classic,493.79449999833014,838.6953125,499,1,500,62616,0.5019318637274549,dense
Kruskal_Classic,439.1488000037498,838.6953125,499,2,500,62616,0.5019318637274549,dense
Kruskal_Classic,318.0117000010796,838.6953125,499,3,500,62616,0.5019318637274549,dense
