algorithm,algorithm_family,execution_time_ms,peak_memory_kb,reachable_distances,trial,nodes,edges,density_ratio,graph_type
FloydWarshall_Classic,all_pairs,5.561999998462852,5.34375,625,4,25,395,0.6583333333333333,dense
FloydWarshall_Classic,all_pairs,5.433399994217325,5.34375,625,5,25,395,0.6583333333333333,dense
FloydWarshall_Optimized,all_pairs,6.550600002810825,5.2734375,625,1,25,395,0.6583333333333333,dense
FloydWarshall_Optimized,all_pairs,6.263399998715613,5.296875,625,2,25,395,0.6583333333333333,dense
FloydWarshall_Optimized,all_pairs,6.7915999970864505,5.296875,625,3,25,395,0.6583333333333333,dense
FloydWarshall_Optimized,all_pairs,6.445200000598561,5.296875,625,4,25,395,0.6583333333333333,dense
FloydWarshall_Optimized,all_pairs,6.485900004918221,5.296875,625,5,25,395,0.6583333333333333,dense
FloydWarshall_Classic,all_pairs,33.336899999994785,20.125,2500,1,50,1573,0.6420408163265307,dense
FloydWarshall_Classic,all_pairs,33.76159999606898,20.1484375,2500,2,50,1573,0.6420408163265307,dense
FloydWarshall_Classic,all_pairs,33.78320000047097,20.1484375,2500,3,50,1573,0.6420408163265307,dense
FloydWarshall_Classic,all_pairs,33.87259999726666,20.1484375,2500,4,50,1573,0.6420408163265307,dense
