nodes,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
868,42.9296875,190.015625,344.578125,528.109375,657.859375,822.078125,919.890625,1153.703125,1292.953125,1449.609375,1625.859375,1824.140625,1824.140625,2047.203125,2298.140625,2298.140625,2580.453125,2580.453125,2898.046875,2898.046875,3255.359375
879,42.8984375,208.828125,344.578125,528.109375,657.859375,822.078125,1029.921875,1153.703125,1292.953125,1449.609375,1625.859375,1824.140625,2047.203125,2047.203125,2298.140625,2298.140625,2580.453125,2898.046875,2898.046875,2898.046875,3255.359375
889,42.9296875,208.828125,382.703125,528.109375,657.859375,822.078125,1029.921875,1153.703125,1292.953125,1449.609375,1625.859375,1824.140625,2047.203125,2047.203125,2298.140625,2580.453125,2580.453125,2898.046875,2898.046875,3255.359375,3255.359375
899,42.8359375,208.828125,382.703125,528.109375,735.140625,919.890625,1029.921875,1153.703125,1449.609375,1625.859375,1625.859375,1824.140625,2047.203125,2298.140625,2298.140625,2580.453125,2580.453125,2898.046875,2898.046875,3255.359375,3255.359375
909,42.8046875,208.828125,382.703125,528.109375,735.140625,919.890625,1029.921875,1292.953125,1449.609375,1625.859375,1824.140625,1824.140625,2047.203125,2298.140625,2298.140625,2580.453125,2898.046875,2898.046875,3255.359375,3255.359375,3657.328125
919,42.7421875,208.828125,382.703125,589.171875,735.140625,919.890625,1029.921875,1292.953125,1449.609375,1625.859375,1824.140625,2047.203125,2047.203125,2298.140625,2580.453125,2580.453125,2898.046875,2898.046875,3255.359375,3255.359375,3657.328125
929,42.8984375,208.828125,382.703125,589.171875,735.140625,919.890625,1153.703125,1292.953125,1449.609375,1625.859375,1824.140625,2047.203125,2298.140625,2298.140625,2580.453125,2580.453125,2898.046875,2898.046875,3255.359375,3255.359375,3657.328125
939,43.0234375,229.984375,425.578125,589.171875,735.140625,919.890625,1153.703125,1292.953125,1449.609375,1625.859375,1824.140625,2047.203125,2298.140625,2298.140625,2580.453125,2898.046875,2898.046875,3255.359375,3255.359375,3657.328125,3657.328125
949,42.8671875,229.984375,425.578125,589.171875,822.078125,919.890625,1153.703125,1292.953125,1449.609375,1625.859375,1824.140625,2047.203125,2298.140625,2580.453125,2580.453125,2898.046875,2898.046875,3255.359375,3255.359375,3657.328125,3657.328125
959,42.9296875,229.984375,425.578125,589.171875,822.078125,1029.921875,1153.703125,1449.609375,1625.859375,1824.140625,2047.203125,2047.203125,2298.140625,2580.453125,2580.453125,2898.046875,3255.359375,3255.359375,3657.328125,3657.328125,3657.328125
969,43.0234375,229.984375,425.578125,589.171875,822.078125,1029.921875,1153.703125,1449.609375,1625.859375,1824.140625,2047.203125,2298.140625,2298.140625,2580.453125,2898.046875,2898.046875,3255.359375,3255.359375,3657.328125,3657.328125,4109.546875
979,42.7734375,230.984375,426.578125,658.859375,823.078125,1030.921875,1293.953125,1450.609375,1626.859375,1825.140625,2048.203125,2299.140625,2299.140625,2581.453125,2899.046875,2899.046875,3256.359375,3256.359375,3658.328125,3658.328125,4110.546875
989,42.8046875,254.796875,426.578125,658.859375,823.078125,1030.921875,1293.953125,1450.609375,1626.859375,1825.140625,2048.203125,2299.140625,2581.453125,2581.453125,2899.046875,2899.046875,3256.359375,3658.328125,3658.328125,4110.546875,4110.546875
