nodes,density_percent,BFS,DFS_Iterative,speed_ratio_dfs_over_bfs
143,60,0.5386000002545188,1.401149999765039,2.601466764023239
143,65,0.5810999996356259,1.487900000029185,2.560488729929721
143,70,0.5980999999337655,1.6399500000261469,2.7419327875067
143,75,0.6318499999906635,1.8999500002792047,3.0069636785744707
143,80,0.6659999999101274,1.7791500004022964,2.6713963973609336
143,85,0.7015000001047156,1.9031499996344787,2.712972201497346
143,90,0.7439000000886153,2.199949999976525,2.957319531811347
143,95,0.7651500000065425,2.141699999810953,2.799059007766634
143,100,0.9021500000017113,4.402349999963917,4.87984259818829
153,0,0.17704999982015576,0.3430500005379144,1.937588256912615
153,5,0.21959999958198745,0.45950000048833317,2.092440807663933
153,10,0.25955000000976725,0.5649000004268601,2.1764592579680295
153,15,0.3000500000780448,0.7248500000969216,2.4157640390214423
153,20,0.3312000003461435,0.8065499996519065,2.4352355036502584
153,25,0.35615000024336035,0.9017999996103754,2.532079177296554
153,30,0.3968499995607999,0.9950500002560148,2.5073705464463956
153,35,0.4281500000615779,1.1075999996137398,2.586943826823406
153,40,0.46784999994997634,1.1863999998240615,2.5358555091394983
153,45,0.5029499998272513,1.310399999965739,2.6054279757745764
153,50,0.5375500004447531,1.3810499995088321,2.5691563545087748
153,55,0.5811500000163505,1.5584500006298185,2.681665663918045
153,60,0.6071500001780805,1.601949999894714,2.6384748405251637
153,65,0.665100000333041,1.715899999908288,2.579912793638658
153,70,0.6742499999745633,1.7986500001825334,2.6676307011500024
153,75,0.7240499999170424,1.9630500000857865,2.711207789946415
153,80,0.7895499998085143,2.4659999999130378,3.1232980818328224
153,85,0.7830999998077459,2.1434999998746207,2.737198314903407
153,90,0.8164999999280553,4.513549999501265,5.52792406601221
153,95,0.8792500002527959,2.3214000002553803,2.640204719463119
153,100,0.9039999999913562,2.4820500002533663,2.7456305312799767
163,0,0.1916999999593827,0.37400000019260915,1.950965050974711
163,5,0.23710000004939497,0.5071000000498316,2.1387600166351226
163,10,0.27664999970511417,0.6382499996107072,2.3070666918164773
