algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
BFS_Base,0.22929999977350235,1.1640625,50,True,1,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
BFS_Base,0.21570000535575673,1.1640625,50,True,2,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
BFS_Base,0.21519999427255243,1.1640625,50,True,3,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
BFS_Base,0.2134000023943372,1.1640625,50,True,4,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
BFS_Base,0.2201999959652312,1.1640625,50,True,5,50,50,cyclic_graph,cyclic_graph; connected; sparse; unweighted; undirected; V=50; E=50; fill=4.08%,4.08
DFS_Base,0.5941999988863245,2.546875,50,True,1,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
DFS_Base,0.5232000039541163,2.546875,50,True,2,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
DFS_Base,0.5429000011645257,2.546875,50,True,3,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
DFS_Base,0.5996000036248006,2.546875,50,True,4,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
DFS_Base,0.42779999785125256,2.546875,50,True,5,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
BFS_Base,0.18670000281417742,1.2890625,50,True,1,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
BFS_Base,0.1788000008673407,1.2890625,50,True,2,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
BFS_Base,0.17659999866737053,1.2890625,50,True,3,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
BFS_Base,0.2024000059464015,1.2890625,50,True,4,50,201,bipartite_graph,bipartite_graph; connected; sparse; unweighted; undirected; V=50; E=201; fill=16.41%,16.41
