algorithm,execution_time_ms,peak_memory_kb,vertices_visited,success,trial,nodes,edges,graph_type,classification,density_percent
BFS_Optimized,0.6861000001663342,11.8203125,100,True,5,100,3712,density_fill,Fill 75%; connected; dense; unweighted; undirected; V=100; E=3712; fill=74.99%,75
DFS_Optimized,2.060300001176074,50.2890625,100,True,1,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
DFS_Optimized,2.1100999947520904,50.2890625,100,True,2,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
DFS_Optimized,2.1473000015248545,50.2890625,100,True,3,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
DFS_Optimized,27.735399999073707,50.2890625,100,True,4,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
DFS_Optimized,1.8246999970870093,50.2890625,100,True,5,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
BFS_Optimized,0.872299999173265,11.8203125,100,True,1,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
BFS_Optimized,0.8490999971400015,11.8203125,100,True,2,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
BFS_Optimized,0.7986999989952892,11.8203125,100,True,3,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
BFS_Optimized,0.8536000023013912,11.8203125,100,True,4,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
BFS_Optimized,0.9075999987544492,11.8203125,100,True,5,100,4950,density_fill,Fill 100%; connected; dense; unweighted; undirected; V=100; E=4950; fill=100.00%,100
DFS_Optimized,1.8266999977640808,32.796875,200,True,1,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
DFS_Optimized,1.0248000035062432,11.140625,200,True,2,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
DFS_Optimized,1.015699999697972,11.140625,200,True,3,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
DFS_Optimized,1.003500001388602,11.140625,200,True,4,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
DFS_Optimized,1.0045999952126294,11.140625,200,True,5,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
BFS_Optimized,1.499300000432413,11.140625,200,True,1,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
BFS_Optimized,1.516000003903173,11.140625,200,True,2,200,0,density_fill,Fill 0%; disconnected; sparse; unweighted; undirected; V=200; E=0; fill=0.00%,0
